Year,Date,fiyat
2022,5-30-2022,2862
2022,6-6-2022,2741
2022,6-13-2022,2589
2022,6-20-2022,2461
2022,6-27-2022,2452.5
2022,7-4-2022,2416
2022,7-11-2022,2416
2022,7-18-2022,2377
2022,7-25-2022,2431
2022,8-1-2022,2496
2022,8-8-2022,2435
2022,8-15-2022,2389
2022,8-22-2022,2387
2022,8-29-2022,2406
2022,9-5-2022,2290
2022,9-12-2022,2288
2022,9-19-2022,2231
2022,9-26-2022,2125
2022,10-3-2022,2163
2022,10-10-2022,2273.5
2022,10-17-2022,2240
2022,10-24-2022,2160
2022,10-31-2022,2197
2022,11-7-2022,2292
2022,11-14-2022,2392
2022,11-21-2022,2344
2022,11-28-2022,2315.5
2022,12-5-2022,2484.5
2022,12-12-2022,2389.5
2022,12-19-2022,2325
2022,12-26-2022,2342
2023,1-2-2023,2337
2023,1-9-2023,2336
2023,1-16-2023,2602.5
2023,1-23-2023,2592.5
2023,1-30-2023,2576
2023,2-6-2023,2486
2023,2-13-2023,2381.5
2023,2-20-2023,2390
2023,2-27-2023,2313
2023,3-6-2023,2321
2023,3-13-2023,2235.5
2023,3-20-2023,2237
2023,3-27-2023,2297
2023,4-3-2023,2380
2023,4-10-2023,2267
2023,4-17-2023,2363.5
2023,4-24-2023,2354
2023,5-1-2023,2352.5
2023,5-8-2023,2320
2023,5-15-2023,2260
2023,5-22-2023,2261
2023,5-29-2023,2229.5
2023,6-5-2023,2214
2023,6-12-2023,2187.5
2023,6-19-2023,2194.5
2023,6-26-2023,2115.5
2023,7-3-2023,2105
2023,7-10-2023,2095.5
2023,7-17-2023,2194
2023,7-24-2023,2154
2023,7-31-2023,2195
2023,8-7-2023,2177.5
2023,8-14-2023,2095.5
2023,8-21-2023,2068
2023,8-29-2023,2116
2023,9-4-2023,2149
2023,9-11-2023,2153
2023,9-18-2023,2164.5
2023,9-25-2023,2182
2023,10-2-2023,2286
2023,10-9-2023,2192
2023,10-16-2023,2161
2023,10-23-2023,2144
2023,10-30-2023,2251
2023,11-6-2023,2253.5
2023,11-13-2023,2220
2023,11-20-2023,2191
2023,11-27-2023,2176
2023,12-4-2023,2148
2023,12-11-2023,2082
2023,12-18-2023,2212.5
