Date,Price,Open,High,Low,Vol.,Change 
10/16/2022,111.2710,113.8085,114.0702,109.8149,,-2.11
10/09/2022,113.6662,117.0307,118.1173,113.0950,,-2.96
10/02/2022,117.1356,112.3131,117.6515,111.8220,,5.06
09/25/2022,111.4887,112.3169,113.8750,109.3820,,-0.81
09/18/2022,112.4019,116.7406,119.1574,112.1629,,-3.72
09/11/2022,116.7431,118.2028,122.0158,116.3400,,-1.50
09/04/2022,118.5179,119.9179,120.5054,115.4687,,-0.49
08/28/2022,119.1003,124.8356,125.8170,119.0016,,-4.41
08/21/2022,124.5972,121.6915,125.9357,121.3407,,1.86
08/14/2022,122.3162,122.5870,122.7863,119.3906,,-0.72
08/07/2022,123.2038,117.3917,123.7950,116.2502,,4.54
07/31/2022,117.8512,120.3045,120.7689,116.3252,,-3.26
07/24/2022,121.8270,116.4509,122.8233,115.9846,,4.55
07/17/2022,116.5236,113.8950,117.6649,113.8113,,2.69
07/10/2022,113.4684,117.0159,117.3923,110.6823,,-2.11
07/03/2022,115.9131,118.5066,118.5066,109.7997,,-1.04
06/26/2022,117.1284,121.0845,124.2300,116.4346,,-3.45
06/19/2022,121.3129,126.9579,127.6900,119.7146,,-4.31
06/12/2022,126.7754,134.2267,134.3628,126.4048,,-6.39
06/05/2022,135.4343,135.3238,138.1611,133.9450,,1.21
05/29/2022,133.8178,134.4534,135.5853,131.2362,,-0.04
05/22/2022,133.8715,130.9023,134.6166,130.6486,,2.55
05/15/2022,130.5458,129.2198,132.4538,127.6114,,1.74
05/08/2022,128.3122,130.1920,130.5497,123.4540,,-1.56
05/01/2022,130.3436,128.9042,133.3496,127.3097,,0.66
04/24/2022,129.4827,127.8256,130.6429,125.4988,,0.35
04/17/2022,129.0307,134.0469,136.0226,128.9325,,-2.57
04/10/2022,132.4326,126.0161,132.5010,125.1779,,4.76
04/03/2022,126.4148,124.1411,127.5464,123.8820,,2.05
03/27/2022,123.8774,128.5703,128.7623,121.8282,,-4.60
03/20/2022,129.8480,124.8530,129.8915,124.2990,,5.26
03/13/2022,123.3610,125.3465,125.6810,120.2322,,-2.40
03/06/2022,126.3920,132.1150,140.5769,124.2782,,-0.50
02/27/2022,127.0295,115.0101,127.0755,114.2073,,13.02
02/20/2022,112.3975,113.6634,119.7370,112.0706,,0.69
02/13/2022,111.6303,111.1767,112.2791,109.2681,,1.58
02/06/2022,109.8974,109.4928,110.8550,108.4187,,0.30
01/30/2022,109.5738,108.7583,110.7323,106.9394,,2.26
01/23/2022,107.1477,105.5131,107.9237,103.6028,,1.70
01/16/2022,105.3587,104.1844,105.9609,103.7502,,1.75
01/09/2022,103.5431,101.7932,104.5361,100.5550,,2.23
01/02/2022,101.2864,99.4379,101.4231,98.7984,,2.13
12/26/2021,99.1694,99.1428,101.0889,98.5137,,0.27
12/19/2021,98.8989,95.7911,99.0904,94.6390,,2.57
12/12/2021,96.4217,97.4597,97.6161,95.1458,,-0.49
12/05/2021,96.8966,95.6981,97.6042,94.8341,,1.15
11/28/2021,95.7939,100.8110,100.9507,94.1663,,-4.30
11/21/2021,100.1030,101.8668,103.8738,99.2285,,-2.16
11/14/2021,102.3109,102.4800,104.0504,101.4872,,-0.47
11/07/2021,102.7969,103.1663,103.5325,101.5552,,0.06
10/31/2021,102.7359,103.3985,104.6200,102.0168,,-0.60
10/24/2021,103.3578,104.7848,106.2633,102.7248,,-0.38
10/17/2021,103.7541,104.5830,105.5518,102.7336,,-0.93
10/10/2021,104.7290,103.2391,105.6106,102.0707,,2.05
10/03/2021,102.6205,101.0618,104.4747,100.3813,,1.68
09/26/2021,100.9270,99.8743,102.3457,99.2739,,1.97
09/19/2021,98.9774,96.7866,99.0016,95.0640,,1.47
09/12/2021,97.5465,97.1765,100.0878,96.9273,,0.45
09/05/2021,97.1053,97.0359,97.3318,95.7105,,-0.01
08/29/2021,97.1166,96.6867,97.3786,95.3467,,0.79
08/22/2021,96.3507,91.6321,96.3588,91.6083,,5.69
08/15/2021,91.1605,94.8879,95.2905,91.1000,,-4.21
08/08/2021,95.1700,94.1001,95.7106,92.7377,,0.51
08/01/2021,94.6853,96.0289,96.5707,94.4943,,-1.65
07/25/2021,96.2754,95.5311,97.5418,95.0568,,0.61
07/18/2021,95.6888,94.2956,95.8705,91.8797,,1.33
07/11/2021,94.4305,93.3445,95.1624,92.7450,,1.00
07/04/2021,93.4966,95.8965,96.1372,91.6930,,-1.56
06/27/2021,94.9753,92.4383,96.1706,92.3424,,2.75
06/20/2021,92.4370,90.8216,92.8616,90.1468,,1.65
06/13/2021,90.9330,94.3957,94.5859,89.9227,,-4.27
06/06/2021,94.9903,94.9179,95.5574,94.0590,,0.32
05/30/2021,94.6845,93.7626,95.1048,93.0644,,2.00
05/23/2021,92.8252,90.7564,93.2215,90.5573,,2.12
05/16/2021,90.8946,92.2487,94.0811,90.4104,,-1.18
